company_name_1,company_name_2,person_name,position
湖南華菱鋼鐵,湖南华菱钢铁集团有限责任公司,"中国冶金进出口湖南公司,湖南冶金投资公司,曹志强,曹志强,管炳春,黄邵明,肖骥,谢岭,阳向宏,易佐,张建平,赵俊武","董事长,总经理,董事,董事,董事,董事,董事,董事,董事,董事"
順豐控股,王卫,"王卫,林哲莹,陈飞,邓伟栋,金李,刘澄伟,罗世礼,伍玮婷,叶迪奇","董事长,总经理,总经理,董事长,副董事长,董事,董事,董事,董事,董事,董事,董事"
中國宏橋,中国企业经营咨询公司,"陕西新意达投资有限公司,虹桥国际工程西安有限公司,李大灿,郭荔,杜润民,李一威,郑学森,杨桦,郭宇红,张星杰","董事长,总经理,董事,副董事长,董事,董事,监事会主席,监事,监事"
華電國際電力,外资股,"丁焕德,罗小黔,冯荣,丰镇平,李鹏云,李兴春,倪守民,彭兴宇,王大树,王晓渤,齐崇勇,王文德,巴希,顾涛,徐建伟,张德运,许如平,钟国东,侯德安,卓德勇","董事长,董事兼总经理,董事,董事,董事,董事,董事,董事,董事,董事"
招商局蛇口工業區控股,招商局轮船股份有限公司,"招商局集团有限公司,许永军,蔡元庆,孔英,屈文洲,禇宗生,邓伟栋,蒋铁峰,罗慧来,朱文凯,周松,齐绥","董事长,董事,独立董事,独立董事,独立董事,董事,董事,经理,董事,董事,董事,监事会主席"
九州通醫藥,上海弘康实业投资有限公司,"楚昌投资集团有限公司,中山广银投资有限公司,北京点金投资有限公司,刘长云,刘义常,龚翼华,刘登攀,刘兆年,艾华,曾湘泉,陆银娣,汤谷良,王琦","董事长,董事兼总经理,副董事长,副董事长,副董事长,董事,董事,董事,董事,董事"
中興通訊,李自学,"徐子阳,蔡曼莉,方榕,顾军营,李步青,吴君栋,庄坚胜,诸为民,李全才,刘庆龙,刘德庆,赵巍,张宁,徐杨,周成,李清华,王懿,吴昊,董吉锋","董事长,总经理,董事,董事,董事,董事,董事,董事,董事,董事,监事"
世茂房地產控股,世茂房地產控股,None,None
恆逸石化,浙江恒逸集团有限公司,"邱奕博,方贤水,陈三联,楼剑常,毛应,倪德锋,吴中,杨柏樟,杨柳勇,金丹文","董事长兼总经理,副董事长,董事,董事,董事,董事,董事,董事,董事,监事"
銅陵有色金屬,铜陵有色金属集团控股有限公司,"杨军,蒋培进,龚华东,丁士启,胡新付,李文,吴和平,徐五七,陈明勇,解硕荣,胡铜生,孙浩,闫闯,甘国庆,吕高平,杜峰,魏安祥,周曙光,赵荣升,梁海卫","董事长,董事兼总经理,副董事长,董事,董事,董事,董事,董事,监事,监事"
唯品會控股,唯品會控股,None,None
華夏幸福基業,华夏幸福基业控股股份公司,"王文学,吴向东,陈琪,陈世敏,孟惊,孟森,王威,谢冀川,赵鸿靖,常冬娟,孟惊,安义,安义,胡学文,胡学文,胡学文,陈怀洲","董事长,总经理,董事,董事,董事,董事,董事,董事,董事,董事,监事"
四川長虹電器,四川长虹电子集团有限公司,"赵勇,李伟,胡嘉,马力,潘晓勇,曲庆,吴定刚,杨军,周静,程平,王海龙,谢瑛,黄丽丽,侯文,何斌修,万小芳,何克思,罗龙森,王方勤,罗刚","董事长,副董事长,总经理,董事,董事,董事,董事,董事,董事,董事,监事"
北京金隅,北京国有资本经营管理中心,"刘炜宇,王建利,王海涛","执行董事,监事,经理"
蘇美達,金永传,"陈冬华,陈峰,焦世经,刘俊,刘耀武,皮安荣,王玉琦,杨炳生","董事长,董事兼总经理,董事,董事,董事,董事,董事,董事,董事,监事"
馬鞍山鋼鐵,马钢(集团)控股有限公司,"丁毅,钱海帆,王强民,王先柱,张春霞,张文洋,朱少芳,秦同洲,杨亚达,王蕾,程建国,章茂晗,邱全山,朱荩南,朱荩南,石玉军,李爱群,王自远,黄朝武","董事长,董事兼总经理,董事,董事,董事,董事,董事,董事,监事,监事"
神州數碼,神州数码集团股份有限公司,"郭为,李岩,辛昕,詹晓红,李岩,李岩,李岩,李岩,李岩,李岩,李岩,李岩,李岩,李岩,熊霞","董事长,董事,董事,监事,经理"
中國化學工程,中国中化集团公司,"中国化学工程集团有限公司,国家能源投资集团有限责任公司,戴和根,刘家强,兰春杰,刘杰,杨有红,雷典武,李胜利,刘家强,徐万明,范俊生,王春光","董事长,总经理,独立董事,独立董事,独立董事,董事,董事,董事,监事会主席,监事"
內蒙古伊利實業,潘刚,"蔡元明,纪韶,吕刚,彭和平,石芳,王爱清,王晓刚,张俊平,赵成霞,魏铁林,李雄,张广明,李明月,赵宝成,李健,张建勋,郑飞,赵保安,付莉","董事长,总经理,董事,董事,董事,董事,董事,董事,董事,董事,董事"
大秦鐵路,大唐国际发电股份有限公司,"北京铁路局,中国华能集团公司,中国中煤能源集团公司,同方投资有限公司,大同煤矿集团有限责任公司,危翔,刘俊生,张建平,何军,梁永军,李国斌,王亚洲,葛强,张国忠,李强",
中國外運,招商局集团有限公司,"宋德星,刘清亮","执行董事,总经理,监事"
貴州茅台酒,贵州省人民政府国有资产监督管理委员会,"贵州金融控股集团有限责任公司(贵州贵民投资集团有限责任公司),丁雄军,李静仁,李为熹,彭云,张瑞彬,陈寿春,郭灏,帅承举,张北平,汪深洪,游亚林,黄旭,杨世杰,杨燕","董事长,董事兼总经理,董事,董事,董事,监事,监事,监事,监事,监事"
廣州富力地產,李思廉,"张力,吕劲,周耀南,朱玲,廖冬芬,张量,张小林,李思廉,李海伦,王振邦,吴又华,相立军,张辉,张力,张琳,郑尔城","董事长,董事,董事,董事,董事,董事,董事,董事,董事,监事"
山西太鋼不鏽鋼,太原钢铁(集团)有限公司,"魏成文,李华,柴志勇,李端生,李建民,刘新权,毛新平,尚佳君,石来润,张吉昌,王立新,王洪,谢定平","董事长,董事兼总经理,董事,董事,董事,董事,董事,董事,董事,董事"
